name,type,label,hint,required,constraint,constraint_message,default,relevant
thickness_m,integer,Thickness (m),What is the thickness of this shear zone in meters?,true,. >= 0,Thickness must be greater than 0.,,
strike_of_shear_zone_boundary,integer,Strike of Shear Zone Boundary,,false,. >= 0 and . <= 360,Strike must be between 0-360.,,
dip_of_shear_zone_boundary,integer,Dip of Shear Zone Boundary,,false,. >= 0 and . <= 90,Dip must be between 0-360.,,
fault_geometry,select_one ku2gk10,Shear Zone Movement Type,,false,,,not_specified,
Movement,select_one ww1yf84,Strike-Slip Movement,,false,,,not_specified,${fault_geometry} = 'strike_slip'
dip_slip_movement,select_one dr9xt23,Dip-Slip Movement,,false,,,not_specified,${fault_geometry} = 'dip_slip'
oblique_movement,select_one os1df47,Oblique Movement,,false,,,not_specified,${fault_geometry} = 'oblique'
movement_justification,select_one kt81l04,Movement Justification,,false,,,not_specified,${fault_geometry} != ''
offset_markers,select_multiple uh1mv47,Offset Markers,,false,,,not_specified,${movement_justification} = 'offset'
piercing_point_detail,text,Piercing Point Description,Specify piercing point.,false,,,not_specified,"selected(${offset_markers}, 'piercing_point')"
marker_detail,text,Marker Type,,false,,,not_specified,"selected(${offset_markers}, 'other_marker')"
directional_indicators,select_multiple xd2fb20,Directional Indicators,,false,,,not_specified,${movement_justification} = 'directional_indicator'
feature_asymmetry_detail,text,Asymmetry Details,"porphyroblast/clast, folds, mica fish, etc",false,,,not_specified,"selected(${directional_indicators}, 'shear_sense')"
mineral_lineation_detail,text,Mineral Lineation Detail,What is the mineral?,false,,,,"selected(${directional_indicators}, 'mineral_lineat')"
juxtaposes_rocks,select_multiple fq8rt60,Juxtaposes __________ rocks....,,false,,,not_specified,
against_rocks,select_multiple kw6tp41,... against ________ rocks.,,false,,,not_specified,
inferred_age_of_shear_zone_ma,integer,Inferred Age (Ma) of Shear Zone Activity,Do you know when the shear zone was active?,false,,,,
start,start,,,,,,,
end,end,,,,,,,
