label,name,order,list name
other / new,new,0,xn4xv87
feature type,feature_type,1,xn4xv87
part of larger structure,larger_structu,2,xn4xv87
age,age,3,xn4xv87
location,location,4,xn4xv87
part of same process or event,process,5,xn4xv87
fault,fault,,lr0jp76
fold,fold,,lr0jp76
shear zone,shear_zone,,lr0jp76
intrusive body,intrusive_body,,lr0jp76
other,other,,lr0jp76
this is a list of spots / features,this_is_a_list,,so9zn66
this is a list of spots / features,this_is_a_list_1,,so9zn66
Spot 1,spot_1,,ab1lh90
Spot 2,spot_2,,ab1lh90
Etc,etc,,ab1lh90
